T (K),S (eV/K),U (eV),A (eV),Cv (eV/K),G (eV),H (eV),-(G-H(Tref))/T (eV/K),H-H(Tref) (eV)
50,0.0007988439984416746,0.9986260735817756,0.9586838736596919,0.00012998125679353212,0.9586838736596919,0.9986260735817756,0.0018184553800147318,-0.05098056907865289
100,0.0009330083856017917,1.0054845503779368,0.9121837118177576,0.0001487113540336038,0.9121837118177576,1.0054845503779368,0.0013742293084267087,-0.04412209228249164
150,0.0010229459534901106,1.013762061134088,0.8603201681105714,0.00018385184136360255,0.8603201681105714,1.013762061134088,0.0012619098303323802,-0.0358445815263404
200,0.0010977834915172132,1.0239442965731542,0.8043875982697116,0.00022361273292514916,0.8043875982697116,1.0239442965731542,0.0012260952219535842,-0.025662346087274246
250,0.001164723615155532,1.0361074089457627,0.7449265051568796,0.00026255822745069324,0.7449265051568796,1.0361074089457627,0.0012187205500141954,-0.01349923371466577
300,0.0012263337354453943,1.050158696529548,0.6822585758959296,0.00029905912698480197,0.6822585758959296,1.050158696529548,0.0012244935558816629,0.0005520538691194954
350,0.001283869657717545,1.065970272490334,0.6166158922891932,0.00033297787259023437,0.6166158922891932,1.065970272490334,0.0012371164296321006,0.01636362982990547
400,0.0013380807573357815,1.0834143018470976,0.5481819989127851,0.00036436453964938664,0.5481819989127851,1.0834143018470976,0.0012535616093691084,0.03380765918666917
450,0.001389456427051645,1.1023655013318594,0.4771101091586192,0.00039327971700242603,0.4771101091586192,1.1023655013318594,0.0012722145188929096,0.05275885867143093
500,0.0014383408386336159,1.122703366575697,0.403532947258889,0.0004198627976763625,0.403532947258889,1.122703366575697,0.001292147390803079,0.07309672391526845
550,0.001484997254388102,1.1443167369835443,0.32756824707008825,0.0004443440141568278,0.32756824707008825,1.1443167369835443,0.0013127970828915277,0.09471009432311583
600,0.0015296425955577777,1.1671073943034072,0.24932183696874055,0.00046700194464932565,0.24932183696874055,1.1671073943034072,0.0013338080094861466,0.11750075164297868
650,0.0015724641604537453,1.1909911890467983,0.16888948475186383,0.0004881134521198538,0.16888948475186383,1.1909911890467983,0.0013549494737054842,0.14138454638636988
700,0.0016136269414217736,1.215897028862952,0.0863581698677105,0.0005079200947448737,0.0863581698677105,1.215897028862952,0.00137606924684674,0.16629038620252357
750,0.0016532767737480638,1.2417646901578336,0.0018071098467857816,0.0005266141190335416,0.0018071098467857816,1.2417646901578336,0.0013970660437515236,0.19215804749740517
800,0.001691542047479431,1.2685423106651914,-0.08469132731835338,0.000544338547316503,-0.08469132731835338,1.2685423106651914,0.0014178724624734774,0.21893566800476294
850,0.0017285351570671304,1.2961840964171099,-0.17307078708995105,0.0005611946664116907,-0.17307078708995105,1.2961840964171099,0.0014384440350004464,0.2465774537566814
900,0.0017643540544830198,1.324648482224616,-0.2632701668101016,0.0005772520343968468,-0.2632701668101016,1.324648482224616,0.0014587520105228111,0.2750418395641876
950,0.0017990839222537316,1.353896791061492,-0.3552329350795529,0.0005925581109160749,-0.3552329350795529,1.353896791061492,0.001478778502884191,0.3042901484010636
1000,0.0018327988722088538,1.3838923363400255,-0.4489065358688282,0.0006071462188063093,-0.4489065358688282,1.3838923363400255,0.0014985131785292566,0.33428569367959704
